time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-04-07 00:00:00+00:00,1,1,49,5
2023-04-08 00:00:00+00:00,3,2,12,8
2023-04-09 00:00:00+00:00,0,0,39,12
2023-04-10 00:00:00+00:00,2,2,72,22
2023-04-11 00:00:00+00:00,3,2,29,13
2023-04-12 00:00:00+00:00,1,1,56,12
2023-04-13 00:00:00+00:00,1,1,16,8
2023-04-14 00:00:00+00:00,0,0,43,16
2023-04-15 00:00:00+00:00,2,2,130,22
2023-04-16 00:00:00+00:00,8,7,75,12
2023-04-17 00:00:00+00:00,4,3,36,17
2023-04-18 00:00:00+00:00,6,4,82,20
2023-04-19 00:00:00+00:00,4,4,96,17
2023-04-20 00:00:00+00:00,22,15,89,15
2023-04-21 00:00:00+00:00,36,28,362,17
2023-04-22 00:00:00+00:00,3,3,104,22
2023-04-23 00:00:00+00:00,3,3,110,21
2023-04-24 00:00:00+00:00,4,4,91,11
